DATA_OBITO,OUTRAS,COVID - ES,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,28,0,0,2,16,15,1
2018-05-30,37,0,0,6,14,5,0
2018-05-31,37,0,0,5,19,11,0
2018-06-01,35,0,0,7,9,12,0
2018-06-02,45,0,0,7,14,20,0
2018-06-03,34,0,0,1,18,9,0
2018-06-04,38,0,0,2,10,11,0
2018-06-05,34,0,0,2,20,12,0
2018-06-06,34,0,0,4,19,6,1
2018-06-07,40,0,0,5,15,13,0
2018-06-08,39,0,0,4,14,11,0
2018-06-09,36,0,0,4,13,18,0
2018-06-10,40,0,0,4,12,6,0
2018-06-11,28,0,0,5,18,14,0
2018-06-12,34,0,1,5,18,19,0
2018-06-13,51,0,0,4,16,10,0
2018-06-14,40,0,0,10,18,8,0
2018-06-15,38,0,0,4,15,6,0
2018-06-16,35,0,0,6,16,18,0
2018-06-17,40,0,0,4,23,10,0
2018-06-18,28,0,0,5,19,7,0
2018-06-19,37,0,0,4,16,10,0
2018-06-20,32,0,0,4,14,11,1
2018-06-21,28,0,0,5,13,12,0
2018-06-22,29,0,0,4,21,5,0
2018-06-23,27,0,0,2,10,7,1
2018-06-24,31,0,0,8,13,11,0
2018-06-25,30,0,0,4,16,6,0
2018-06-26,36,0,0,2,14,11,1
2018-06-27,39,0,0,5,19,9,0
2018-06-28,40,0,0,2,18,5,0
2018-06-29,44,0,0,2,11,8,0
2018-06-30,47,0,0,6,15,8,0
2018-07-01,41,0,0,4,19,9,0
2018-07-02,37,0,1,3,22,13,0
2018-07-03,30,0,0,1,14,15,0
2018-07-04,35,0,0,3,11,10,0
2018-07-05,30,0,0,4,19,8,0
2018-07-06,42,0,0,1,14,9,0
2018-07-07,29,0,0,1,7,10,0
2018-07-08,34,0,1,2,18,10,1
2018-07-09,41,0,0,2,17,9,0
2018-07-10,29,0,0,2,15,11,0
2018-07-11,31,0,0,4,13,8,0
2018-07-12,33,0,0,8,17,10,0
2018-07-13,43,0,0,5,16,8,0
2018-07-14,28,0,0,3,20,10,0
2018-07-15,38,0,2,2,12,8,1
2018-07-16,33,0,1,7,23,10,2
2018-07-17,38,0,0,11,8,17,0
2018-07-18,47,0,0,3,9,9,0
2018-07-19,45,0,0,4,14,9,0
2018-07-20,35,0,0,6,23,10,0
2018-07-21,36,0,0,5,10,9,0
2018-07-22,36,0,0,3,12,12,1
2018-07-23,25,0,0,7,15,11,0
2018-07-24,34,0,0,5,16,9,0
2018-07-25,36,0,1,6,8,6,0
2018-07-26,48,0,0,3,18,18,0
2018-07-27,22,0,0,5,15,11,0
2018-07-28,35,0,0,6,20,12,0
2018-07-29,27,0,0,9,8,9,0
2018-07-30,52,0,0,1,16,7,0
2018-07-31,25,0,0,7,17,6,0
2018-08-01,36,0,0,6,9,12,0
2018-08-02,35,0,0,1,21,6,0
2018-08-03,29,0,0,5,13,5,0
2018-08-04,43,0,0,3,14,6,0
2018-08-05,25,0,0,5,12,9,0
2018-08-06,32,0,0,0,12,13,0
