DATA_OBITO,OUTRAS,COVID - RN,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,21,0,0,2,8,2,0
2018-05-30,22,0,0,2,15,8,0
2018-05-31,24,0,0,3,7,6,0
2018-06-01,20,0,0,6,13,4,0
2018-06-02,23,0,2,3,20,6,0
2018-06-03,28,0,0,4,5,6,0
2018-06-04,16,0,0,6,14,4,0
2018-06-05,23,0,0,4,9,4,0
2018-06-06,28,0,0,2,10,5,0
2018-06-07,28,0,0,2,13,5,0
2018-06-08,28,0,1,1,15,2,0
2018-06-09,20,0,1,2,12,6,0
2018-06-10,20,0,0,3,11,4,0
2018-06-11,14,0,1,2,16,12,0
2018-06-12,19,0,2,3,11,3,0
2018-06-13,12,0,0,2,8,8,0
2018-06-14,21,0,0,2,10,8,0
2018-06-15,23,0,0,5,11,7,0
2018-06-16,27,0,0,1,11,7,0
2018-06-17,22,0,0,3,5,3,0
2018-06-18,19,0,0,3,9,4,0
2018-06-19,24,0,0,4,11,8,0
2018-06-20,20,0,0,2,6,5,0
2018-06-21,15,0,1,3,2,8,0
2018-06-22,16,0,0,1,6,7,0
2018-06-23,22,0,0,1,11,7,0
2018-06-24,17,0,0,0,6,8,0
2018-06-25,19,0,1,6,5,6,0
2018-06-26,22,0,0,3,10,5,0
2018-06-27,13,0,0,2,4,4,0
2018-06-28,9,0,0,1,5,8,0
2018-06-29,19,0,0,3,8,3,0
2018-06-30,19,0,0,2,7,5,0
2018-07-01,19,0,0,4,5,4,0
2018-07-02,18,0,0,2,13,7,0
2018-07-03,16,0,1,3,10,2,0
2018-07-04,22,0,2,3,4,2,0
2018-07-05,17,0,0,2,5,5,0
2018-07-06,16,0,0,3,5,3,0
2018-07-07,17,0,0,3,7,2,0
2018-07-08,17,0,0,3,9,4,0
2018-07-09,19,0,2,4,11,9,0
2018-07-10,13,0,0,4,6,5,0
2018-07-11,17,0,0,2,5,7,0
2018-07-12,21,0,0,3,11,8,0
2018-07-13,20,0,0,1,7,5,0
2018-07-14,21,0,0,4,5,4,0
2018-07-15,26,0,0,1,8,1,0
2018-07-16,17,0,2,2,5,1,0
2018-07-17,27,0,0,2,5,5,0
2018-07-18,25,0,0,3,4,8,0
2018-07-19,16,0,0,2,9,3,0
2018-07-20,23,0,0,0,4,8,0
2018-07-21,14,0,1,2,6,3,0
2018-07-22,20,0,0,1,5,3,0
2018-07-23,17,0,0,2,7,2,0
2018-07-24,21,0,0,1,6,9,0
2018-07-25,24,0,0,0,7,7,0
2018-07-26,29,0,0,3,8,4,0
2018-07-27,25,0,0,4,6,1,0
2018-07-28,19,0,0,0,9,1,0
2018-07-29,17,0,0,0,6,4,0
2018-07-30,10,0,0,1,8,4,0
2018-07-31,17,0,0,1,11,5,0
2018-08-01,18,0,0,3,5,7,0
2018-08-02,16,0,0,3,7,5,0
2018-08-03,13,0,0,1,8,4,0
2018-08-04,17,0,0,2,7,6,0
2018-08-05,13,0,0,4,6,9,0
2018-08-06,20,0,1,3,5,2,0
2018-08-07,24,0,1,0,4,10,0
2018-08-08,15,0,0,3,7,4,0
2018-08-09,24,0,1,2,7,7,0
2018-08-10,20,0,0,2,5,3,0
2018-08-11,12,0,0,2,5,8,0
2018-08-12,15,0,0,6,12,5,1
2018-08-13,31,0,0,3,11,5,0
2018-08-14,17,0,1,3,6,4,0
2018-08-15,25,0,0,2,2,7,0
2018-08-16,19,0,0,0,6,4,0
2018-08-17,14,0,0,2,6,4,0
2018-08-18,15,0,0,3,11,2,0
2018-08-19,13,0,0,5,3,2,0
2018-08-20,14,0,0,2,11,5,0
2018-08-21,17,0,0,4,7,4,0
2018-08-22,24,0,0,0,3,4,0
2018-08-23,13,0,0,2,8,8,0
2018-08-24,17,0,0,1,3,5,0
2018-08-25,17,0,0,5,2,9,0
2018-08-26,20,0,1,1,8,2,0
2018-08-27,21,0,0,4,10,4,0
2018-08-28,21,0,0,1,4,6,0
2018-08-29,22,0,0,2,8,11,0
2018-08-30,14,0,0,2,9,6,0
2018-08-31,18,0,0,2,7,8,0
2018-09-01,20,0,0,0,6,4,0
2018-09-02,22,0,0,5,9,7,0
2018-09-03,31,0,2,0,8,7,0
2018-09-04,25,0,0,4,10,9,0
2018-09-05,28,0,0,0,10,3,0
2018-09-06,11,0,0,2,5,9,0
2018-09-07,21,0,1,1,5,6,0
2018-09-08,27,0,0,1,6,9,0
2018-09-09,21,0,2,1,10,4,0
2018-09-10,25,0,0,3,7,6,0
2018-09-11,21,0,0,5,7,6,0
2018-09-12,18,0,0,3,3,5,0
2018-09-13,23,0,0,1,2,5,0
2018-09-14,16,0,0,1,5,4,0
