DATA_OBITO,OUTRAS,COVID - SC,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,54,0,0,15,26,13,0
2018-05-30,57,0,0,10,20,17,0
2018-05-31,71,0,0,10,22,21,0
2018-06-01,61,0,0,7,22,14,0
2018-06-02,82,0,3,9,26,11,0
2018-06-03,53,0,1,8,23,6,0
2018-06-04,68,0,0,14,26,17,0
2018-06-05,69,0,2,15,13,17,0
2018-06-06,60,0,1,16,30,12,0
2018-06-07,85,0,0,5,26,17,1
2018-06-08,74,0,0,14,18,12,0
2018-06-09,70,0,0,14,15,24,0
2018-06-10,76,0,0,6,20,20,0
2018-06-11,75,0,2,13,21,15,0
2018-06-12,63,0,0,9,28,13,0
2018-06-13,79,0,1,14,30,10,0
2018-06-14,69,0,0,13,20,15,0
2018-06-15,70,0,0,16,18,12,0
2018-06-16,59,0,0,13,29,9,0
2018-06-17,64,0,1,8,23,19,0
2018-06-18,76,0,2,10,24,14,0
2018-06-19,75,0,0,17,29,16,1
2018-06-20,71,0,0,10,24,4,0
2018-06-21,64,0,0,13,28,9,0
2018-06-22,74,0,0,12,23,15,0
2018-06-23,65,0,0,12,18,17,0
2018-06-24,66,0,0,11,32,15,0
2018-06-25,70,0,1,18,25,7,0
2018-06-26,61,0,2,12,31,21,0
2018-06-27,63,0,0,13,23,18,0
2018-06-28,79,0,1,9,15,14,1
2018-06-29,56,0,1,10,31,19,0
2018-06-30,58,0,0,13,32,16,0
2018-07-01,66,0,4,9,30,16,0
2018-07-02,49,0,0,15,35,15,0
2018-07-03,69,0,1,13,24,13,0
2018-07-04,77,0,0,9,26,6,1
2018-07-05,69,0,0,17,23,21,0
2018-07-06,75,0,2,10,28,12,0
2018-07-07,60,0,0,8,26,18,0
2018-07-08,74,0,0,7,31,13,0
2018-07-09,71,0,0,13,29,6,0
2018-07-10,58,0,0,11,25,15,1
2018-07-11,63,0,0,14,28,9,0
2018-07-12,80,0,1,18,22,13,0
2018-07-13,72,0,2,9,26,15,0
2018-07-14,52,0,1,10,34,20,0
2018-07-15,70,0,0,10,22,13,0
2018-07-16,76,0,0,15,29,9,0
2018-07-17,78,0,0,16,21,15,0
2018-07-18,77,0,0,9,27,12,0
2018-07-19,59,0,1,22,24,13,0
2018-07-20,68,0,0,14,23,14,1
2018-07-21,53,0,0,8,32,15,0
2018-07-22,70,0,1,15,38,17,1
2018-07-23,64,0,3,12,28,21,1
2018-07-24,73,0,1,16,27,12,0
2018-07-25,64,0,0,12,28,8,0
2018-07-26,63,0,0,10,21,15,0
2018-07-27,65,0,1,9,27,15,0
2018-07-28,52,0,1,14,20,16,0
2018-07-29,64,0,0,13,22,14,0
2018-07-30,68,0,1,11,13,8,1
2018-07-31,68,0,1,10,21,9,0
2018-08-01,65,0,0,17,25,11,0
2018-08-02,57,0,0,6,29,15,1
2018-08-03,66,0,0,11,24,17,1
2018-08-04,71,0,0,7,21,14,0
2018-08-05,73,0,2,7,32,14,0
2018-08-06,50,0,0,12,29,9,0
2018-08-07,57,0,1,11,27,11,0
2018-08-08,76,0,1,11,24,15,0
2018-08-09,54,0,1,9,18,9,0
2018-08-10,49,0,1,11,36,16,0
2018-08-11,76,0,1,6,27,15,2
2018-08-12,76,0,1,12,19,15,0
2018-08-13,58,0,0,11,24,23,1
2018-08-14,72,0,2,13,20,18,1
2018-08-15,58,0,0,14,21,15,1
2018-08-16,69,0,0,7,17,11,0
2018-08-17,53,0,1,10,26,16,0
2018-08-18,61,0,1,8,14,9,0
2018-08-19,53,0,0,9,19,9,0
2018-08-20,74,0,1,7,15,11,0
2018-08-21,63,0,0,12,33,19,0
2018-08-22,56,0,0,11,23,16,1
2018-08-23,88,0,1,6,25,13,0
2018-08-24,74,0,0,5,22,15,0
2018-08-25,62,0,1,11,30,17,0
2018-08-26,72,0,0,11,26,10,1
2018-08-27,66,0,0,12,22,11,0
2018-08-28,55,0,1,11,27,15,0
2018-08-29,68,0,0,10,24,9,0
2018-08-30,70,0,1,12,31,17,1
2018-08-31,59,0,1,9,20,18,1
2018-09-01,70,0,3,15,25,17,0
2018-09-02,71,0,2,16,17,17,1
2018-09-03,65,0,0,5,18,11,0
2018-09-04,69,0,2,9,20,22,0
2018-09-05,83,0,1,8,21,12,0
2018-09-06,59,0,2,10,27,12,0
2018-09-07,59,0,2,13,23,12,0
2018-09-08,50,0,1,17,12,21,0
2018-09-09,55,0,2,12,22,14,0
2018-09-10,61,0,0,7,22,13,0
2018-09-11,66,0,0,16,23,11,0
2018-09-12,58,0,0,9,25,14,0
2018-09-13,69,0,1,13,15,16,0
2018-09-14,58,0,1,5,15,13,0
2018-09-15,75,0,1,12,26,13,0
2018-09-16,64,0,2,9,14,12,0
2018-09-17,65,0,0,18,15,15,0
2018-09-18,56,0,2,15,17,18,1
2018-09-19,58,0,1,15,30,11,1
2018-09-20,71,0,0,10,22,14,0
2018-09-21,64,0,0,9,16,12,0
2018-09-22,51,0,0,10,23,21,1
2018-09-23,59,0,0,10,22,16,0
2018-09-24,56,0,1,10,27,15,0
2018-09-25,58,0,1,5,14,21,0
2018-09-26,66,0,0,11,11,17,1
2018-09-27,52,0,1,13,14,16,0
2018-09-28,47,0,0,8,34,17,0
2018-09-29,66,0,0,11,15,14,0
2018-09-30,52,0,0,11,17,10,0
2018-10-01,52,0,2,7,16,11,0
2018-10-02,53,0,0,6,21,19,1
2018-10-03,49,0,1,11,19,14,0
2018-10-04,66,0,0,13,12,18,0
2018-10-05,61,0,1,12,16,8,0
2018-10-06,59,0,2,5,18,19,0
2018-10-07,68,0,0,6,21,13,0
2018-10-08,74,0,1,11,16,20,0
2018-10-09,65,0,2,6,17,8,0
2018-10-10,61,0,0,13,16,14,0
2018-10-11,50,0,0,7,18,12,0
2018-10-12,46,0,0,9,17,11,0
2018-10-13,59,0,0,13,22,16,0
2018-10-14,52,0,0,17,13,18,0
2018-10-15,56,0,1,7,17,16,0
2018-10-16,54,0,1,10,19,11,0
2018-10-17,61,0,0,6,18,14,0
2018-10-18,73,0,1,6,20,12,0
