DATA_OBITO,OUTRAS,COVID - PR,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,78,0,2,19,30,24,1
2018-05-30,90,0,1,17,40,22,1
2018-05-31,88,0,0,17,34,22,0
2018-06-01,82,0,0,10,33,25,0
2018-06-02,91,0,1,13,44,23,2
2018-06-03,103,0,2,12,41,23,0
2018-06-04,109,0,1,13,37,19,1
2018-06-05,84,0,2,29,33,18,0
2018-06-06,90,0,3,15,37,24,0
2018-06-07,93,0,1,11,39,29,0
2018-06-08,88,0,1,17,48,16,1
2018-06-09,101,0,1,9,47,18,2
2018-06-10,111,0,1,23,35,15,0
2018-06-11,115,0,1,21,36,19,0
2018-06-12,102,0,1,15,40,15,0
2018-06-13,94,0,0,14,41,19,0
2018-06-14,103,0,3,17,36,20,1
2018-06-15,104,0,1,14,50,15,4
2018-06-16,104,0,1,15,32,19,0
2018-06-17,101,0,2,13,34,29,0
2018-06-18,124,0,0,13,51,21,2
2018-06-19,99,0,0,15,49,30,1
2018-06-20,98,0,1,14,50,23,0
2018-06-21,112,0,1,23,40,21,0
2018-06-22,120,0,2,20,36,19,0
2018-06-23,89,0,0,16,32,21,0
2018-06-24,101,0,4,15,44,20,1
2018-06-25,113,0,0,21,37,25,0
2018-06-26,81,0,1,14,31,17,0
2018-06-27,86,0,4,15,35,23,0
2018-06-28,84,0,2,12,21,22,0
2018-06-29,102,0,3,13,42,16,1
2018-06-30,98,0,3,10,35,26,2
2018-07-01,114,0,2,14,32,24,0
2018-07-02,100,0,3,12,39,18,0
2018-07-03,117,0,2,21,39,29,1
2018-07-04,95,0,2,20,38,34,1
2018-07-05,104,0,2,22,34,27,1
2018-07-06,106,0,1,11,27,24,1
2018-07-07,99,0,2,24,33,19,0
2018-07-08,94,0,0,11,39,18,0
2018-07-09,80,0,0,19,33,28,1
2018-07-10,88,0,1,18,33,22,0
2018-07-11,101,0,2,21,51,18,0
2018-07-12,105,0,0,17,33,28,0
2018-07-13,91,0,1,13,53,22,1
2018-07-14,121,0,3,20,48,25,2
2018-07-15,94,0,1,10,38,20,0
2018-07-16,97,0,0,14,37,23,0
2018-07-17,100,0,1,25,50,24,1
2018-07-18,81,0,0,22,38,22,1
2018-07-19,94,0,1,16,43,27,0
2018-07-20,112,0,1,15,49,18,0
2018-07-21,102,0,3,13,40,24,0
2018-07-22,83,0,2,15,42,25,0
2018-07-23,99,0,3,14,39,18,0
2018-07-24,102,0,2,21,39,27,1
2018-07-25,84,0,1,11,43,26,0
2018-07-26,97,0,1,7,47,17,1
2018-07-27,77,0,1,13,29,25,0
2018-07-28,97,0,3,7,45,14,0
2018-07-29,90,0,2,16,40,19,0
2018-07-30,87,0,2,17,39,16,0
2018-07-31,95,0,0,13,42,24,0
2018-08-01,89,0,0,10,32,19,1
2018-08-02,94,0,1,16,41,19,0
