DATA_OBITO,OUTRAS,COVID - DF,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,15,0,0,4,8,6,0
2018-05-30,22,0,1,1,7,8,0
2018-05-31,20,0,0,2,9,4,1
2018-06-01,16,0,0,3,15,6,0
2018-06-02,17,0,1,2,14,8,0
2018-06-03,12,0,0,5,13,2,0
2018-06-04,25,0,1,4,9,4,0
2018-06-05,15,0,0,2,9,9,0
2018-06-06,18,0,0,7,15,4,0
2018-06-07,25,0,0,1,8,7,0
2018-06-08,14,0,0,3,10,4,0
2018-06-09,32,0,0,3,15,5,0
2018-06-10,17,0,1,4,6,7,0
2018-06-11,20,0,0,3,13,6,0
2018-06-12,21,0,0,2,10,5,1
2018-06-13,20,0,0,7,7,6,0
2018-06-14,20,0,0,6,9,5,0
2018-06-15,27,0,2,3,6,4,0
2018-06-16,16,0,1,3,9,6,0
2018-06-17,17,0,1,4,11,11,0
2018-06-18,17,0,1,3,12,5,1
2018-06-19,24,0,0,3,10,1,0
2018-06-20,20,0,0,2,8,5,0
2018-06-21,14,0,1,3,12,8,0
2018-06-22,21,0,0,6,8,11,1
2018-06-23,19,0,1,4,13,6,0
2018-06-24,18,0,0,7,9,5,0
2018-06-25,19,0,0,2,9,7,0
2018-06-26,17,0,0,6,10,7,0
2018-06-27,13,0,0,1,16,5,0
2018-06-28,14,0,0,4,5,1,0
2018-06-29,18,0,0,4,7,3,0
2018-06-30,15,0,1,5,4,9,0
2018-07-01,20,0,2,2,9,8,0
2018-07-02,11,0,0,3,10,5,1
2018-07-03,17,0,0,1,11,8,0
2018-07-04,20,0,0,2,5,8,0
2018-07-05,22,0,1,4,13,6,0
2018-07-06,21,0,1,1,11,5,0
2018-07-07,18,0,0,1,11,7,0
2018-07-08,15,0,0,8,7,9,0
2018-07-09,17,0,0,2,2,5,0
2018-07-10,17,0,0,1,6,4,0
2018-07-11,17,0,0,3,5,13,0
2018-07-12,24,0,0,2,7,9,0
2018-07-13,16,0,0,3,9,3,0
2018-07-14,14,0,0,7,8,5,0
2018-07-15,10,0,1,4,6,9,0
2018-07-16,19,0,0,5,4,4,0
2018-07-17,11,0,1,2,9,9,0
2018-07-18,15,0,0,2,11,5,0
2018-07-19,22,0,0,3,10,7,0
2018-07-20,10,0,0,0,11,2,0
