DATA_OBITO,OUTRAS,COVID - PE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,70,0,3,15,21,31,0
2018-05-30,78,0,3,13,18,26,1
2018-05-31,96,0,1,13,34,28,0
2018-06-01,105,0,0,24,21,25,0
2018-06-02,98,0,0,13,21,45,1
2018-06-03,96,0,1,18,34,45,0
2018-06-04,83,0,0,19,17,37,0
2018-06-05,97,0,1,10,16,42,0
2018-06-06,94,0,0,13,17,37,0
2018-06-07,85,0,1,18,25,43,0
2018-06-08,78,0,0,10,22,35,0
2018-06-09,79,0,1,12,15,27,0
2018-06-10,95,0,0,12,20,36,0
2018-06-11,73,0,1,16,22,24,0
2018-06-12,81,0,2,10,24,33,0
2018-06-13,89,0,0,9,25,30,1
2018-06-14,95,0,1,11,14,31,0
2018-06-15,78,0,1,14,28,40,0
2018-06-16,92,0,1,8,23,32,0
2018-06-17,85,0,0,20,27,36,1
2018-06-18,88,0,0,12,18,34,0
2018-06-19,104,0,2,18,20,40,0
2018-06-20,86,0,2,10,20,31,1
2018-06-21,80,0,0,8,13,29,0
2018-06-22,74,0,1,21,19,25,0
2018-06-23,94,0,1,18,24,32,0
2018-06-24,87,0,0,14,30,33,0
2018-06-25,97,0,0,15,20,32,0
2018-06-26,87,0,0,7,17,47,0
2018-06-27,81,0,1,23,20,33,0
2018-06-28,87,0,0,12,24,45,0
2018-06-29,82,0,0,12,17,18,0
2018-06-30,94,0,0,17,21,45,0
2018-07-01,92,0,4,18,17,38,0
2018-07-02,107,0,4,15,19,24,0
2018-07-03,79,0,1,16,23,35,0
2018-07-04,100,0,1,9,26,38,0
2018-07-05,91,0,1,19,23,49,1
2018-07-06,87,0,0,13,31,35,0
2018-07-07,70,0,2,15,22,41,0
2018-07-08,79,0,0,10,26,39,0
2018-07-09,78,0,2,20,26,36,0
2018-07-10,74,0,0,13,18,30,1
2018-07-11,93,0,2,7,20,33,0
2018-07-12,85,0,1,18,24,29,0
2018-07-13,106,0,1,17,22,34,0
2018-07-14,97,0,1,14,23,37,0
2018-07-15,91,0,1,17,17,39,0
2018-07-16,107,0,0,14,19,27,0
2018-07-17,93,0,3,17,16,34,0
2018-07-18,69,0,0,16,28,26,1
2018-07-19,95,0,1,15,20,40,0
2018-07-20,87,0,1,18,28,39,0
2018-07-21,84,0,1,13,20,33,1
2018-07-22,92,0,1,15,16,39,0
2018-07-23,76,0,0,25,20,33,1
2018-07-24,76,0,2,13,22,41,0
2018-07-25,99,0,0,11,18,34,0
2018-07-26,87,0,2,11,14,35,0
2018-07-27,83,0,1,7,22,25,1
2018-07-28,96,0,1,15,19,27,0
2018-07-29,83,0,2,14,17,39,0
2018-07-30,94,0,0,13,28,29,0
2018-07-31,87,0,1,13,25,38,1
2018-08-01,79,0,3,10,14,32,1
