DATA_OBITO,OUTRAS,COVID - GO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,42,0,0,9,11,9,0
2018-05-30,33,0,0,8,18,11,0
2018-05-31,50,0,0,6,14,10,0
2018-06-01,50,0,0,4,21,8,0
2018-06-02,51,0,0,7,11,8,0
2018-06-03,40,0,0,7,12,8,0
2018-06-04,48,0,0,8,13,8,0
2018-06-05,49,0,1,11,11,12,0
2018-06-06,52,0,1,3,10,8,0
2018-06-07,36,0,0,5,23,10,1
2018-06-08,55,0,0,5,18,4,0
2018-06-09,41,0,1,7,20,4,0
2018-06-10,41,0,1,7,18,12,0
2018-06-11,46,0,1,9,21,4,0
2018-06-12,46,0,0,6,17,11,0
2018-06-13,37,0,0,7,20,9,0
2018-06-14,50,0,0,6,7,8,0
2018-06-15,37,0,0,11,11,7,0
2018-06-16,44,0,1,15,17,12,0
2018-06-17,39,0,0,9,19,4,0
2018-06-18,42,0,0,8,14,6,0
2018-06-19,34,0,0,8,16,7,0
2018-06-20,38,0,0,5,11,8,0
2018-06-21,48,0,0,7,16,10,0
2018-06-22,44,0,1,8,17,15,0
2018-06-23,49,0,0,7,17,11,0
2018-06-24,38,0,0,7,24,8,0
2018-06-25,57,0,1,8,12,9,0
2018-06-26,37,0,0,9,16,11,0
2018-06-27,45,0,1,5,18,10,0
2018-06-28,49,0,1,10,18,8,0
2018-06-29,38,0,0,6,12,10,0
2018-06-30,28,0,0,8,23,13,0
2018-07-01,44,0,0,7,18,6,0
2018-07-02,60,0,1,9,12,5,0
2018-07-03,46,0,0,9,14,9,0
2018-07-04,41,0,2,5,16,9,0
2018-07-05,42,0,1,4,19,9,0
2018-07-06,54,0,2,8,13,9,0
2018-07-07,46,0,0,10,19,6,0
2018-07-08,63,0,1,4,19,8,0
2018-07-09,42,0,1,12,14,11,0
2018-07-10,39,0,1,4,21,11,0
2018-07-11,41,0,0,4,13,6,0
2018-07-12,34,0,0,8,21,8,0
2018-07-13,44,0,0,8,18,11,0
2018-07-14,35,0,0,12,22,8,0
2018-07-15,42,0,0,7,14,4,0
2018-07-16,38,0,0,10,13,14,0
2018-07-17,44,0,0,11,20,5,0
2018-07-18,46,0,0,15,13,7,0
2018-07-19,46,0,0,10,14,10,0
2018-07-20,41,0,0,7,17,10,0
2018-07-21,43,0,1,15,15,11,0
2018-07-22,32,0,0,8,14,11,0
2018-07-23,42,0,1,7,22,11,0
2018-07-24,53,0,1,8,16,7,0
2018-07-25,41,0,0,4,15,8,0
2018-07-26,45,0,0,12,13,13,0
2018-07-27,33,0,1,9,14,15,0
2018-07-28,31,0,0,3,12,10,0
2018-07-29,38,0,0,7,10,7,0
2018-07-30,42,0,0,11,14,8,0
2018-07-31,46,0,0,4,11,9,0
2018-08-01,44,0,1,5,16,12,0
2018-08-02,47,0,1,8,21,6,0
2018-08-03,42,0,0,7,18,14,1
2018-08-04,42,0,0,5,17,10,0
2018-08-05,54,0,0,5,12,7,0
2018-08-06,40,0,1,10,25,15,0
2018-08-07,42,0,0,6,14,10,1
2018-08-08,52,0,1,10,17,5,0
2018-08-09,37,0,0,10,12,11,0
2018-08-10,44,0,0,12,12,9,0
2018-08-11,37,0,0,15,19,7,0
2018-08-12,23,0,0,3,13,11,0
2018-08-13,37,0,0,9,17,12,0
2018-08-14,28,0,0,12,19,5,0
2018-08-15,34,0,1,5,13,11,0
2018-08-16,33,0,0,3,19,5,0
2018-08-17,38,0,0,9,19,8,0
