DATA_OBITO,OUTRAS,COVID - SP,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,446,0,2,70,255,111,0
2018-05-30,437,0,2,83,240,113,1
2018-05-31,436,0,5,77,235,131,0
2018-06-01,490,0,2,61,241,121,0
2018-06-02,471,0,8,67,267,132,1
2018-06-03,513,0,2,74,260,124,3
2018-06-04,469,0,2,79,210,118,2
2018-06-05,445,0,3,89,252,116,3
2018-06-06,457,0,4,71,247,118,1
2018-06-07,471,0,5,96,243,105,0
2018-06-08,453,0,3,82,227,114,0
2018-06-09,480,0,0,82,223,112,2
2018-06-10,488,0,7,72,249,115,3
2018-06-11,509,0,2,91,256,122,0
2018-06-12,487,0,4,80,259,137,1
2018-06-13,466,0,2,68,275,120,0
2018-06-14,423,0,4,71,271,110,1
2018-06-15,446,0,2,61,230,126,2
2018-06-16,432,0,3,69,258,105,0
2018-06-17,438,0,5,76,223,98,2
2018-06-18,444,0,4,71,243,119,1
2018-06-19,453,0,3,79,261,119,0
2018-06-20,463,0,2,70,263,114,1
2018-06-21,460,0,5,68,237,115,2
2018-06-22,460,0,5,65,254,130,1
2018-06-23,498,0,3,71,246,122,3
2018-06-24,460,0,4,75,278,115,0
2018-06-25,479,0,2,71,223,126,0
2018-06-26,460,0,4,79,235,104,2
2018-06-27,469,0,5,89,283,122,2
2018-06-28,442,0,2,93,251,98,1
2018-06-29,446,0,2,70,243,105,3
2018-06-30,447,0,0,77,270,117,1
2018-07-01,450,0,3,66,226,129,2
2018-07-02,446,0,4,87,232,116,3
2018-07-03,465,0,8,77,212,98,0
2018-07-04,457,0,5,80,224,122,3
2018-07-05,461,0,6,68,251,140,1
2018-07-06,454,0,2,73,237,97,5
2018-07-07,471,0,7,72,244,119,3
2018-07-08,493,0,7,69,238,102,4
2018-07-09,440,0,4,64,238,108,2
2018-07-10,431,0,3,65,224,92,0
2018-07-11,486,0,3,79,224,105,1
2018-07-12,468,0,4,67,263,91,1
2018-07-13,490,0,7,65,225,144,1
2018-07-14,496,0,5,65,236,131,3
2018-07-15,520,0,5,75,279,125,0
2018-07-16,504,0,5,71,258,118,2
2018-07-17,464,0,6,87,224,119,3
2018-07-18,493,0,7,75,236,122,2
2018-07-19,468,0,4,76,261,126,1
2018-07-20,467,0,8,90,255,124,0
2018-07-21,454,0,3,80,234,131,2
2018-07-22,435,0,3,70,213,107,2
