DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,226,0,2,33,71,75,0
2018-05-30,213,0,6,31,60,60,1
2018-05-31,216,0,1,33,65,61,0
2018-06-01,212,0,0,20,82,75,0
2018-06-02,182,0,1,20,81,56,1
2018-06-03,222,0,1,35,81,60,0
2018-06-04,220,0,2,32,71,68,0
2018-06-05,213,0,2,24,57,51,0
2018-06-06,229,0,2,34,57,72,0
2018-06-07,224,0,2,38,81,76,1
2018-06-08,208,0,2,31,63,59,0
2018-06-09,222,0,1,29,87,64,0
2018-06-10,235,0,2,29,74,65,0
2018-06-11,221,0,0,31,76,74,0
2018-06-12,203,0,1,23,88,71,0
2018-06-13,218,0,2,28,71,56,0
2018-06-14,189,0,2,28,98,56,0
2018-06-15,212,0,3,33,82,63,0
2018-06-16,210,0,1,20,80,56,0
2018-06-17,207,0,3,16,87,72,0
2018-06-18,201,0,0,28,76,62,0
2018-06-19,205,0,1,30,88,63,0
2018-06-20,226,0,1,29,75,63,0
2018-06-21,210,0,0,38,79,71,0
2018-06-22,219,0,2,31,71,59,2
2018-06-23,207,0,1,36,78,61,0
2018-06-24,217,0,1,16,77,60,0
2018-06-25,239,0,1,26,64,67,0
2018-06-26,191,0,2,21,67,51,1
2018-06-27,199,0,1,28,90,64,1
2018-06-28,192,0,2,32,76,66,0
2018-06-29,201,0,1,29,75,51,1
2018-06-30,209,0,4,19,73,51,0
2018-07-01,207,0,2,23,86,50,0
2018-07-02,212,0,3,19,74,53,0
2018-07-03,222,0,1,29,66,50,1
2018-07-04,167,0,3,28,71,46,0
2018-07-05,190,0,0,28,58,68,0
2018-07-06,202,0,0,39,59,67,0
2018-07-07,207,0,2,27,75,63,0
2018-07-08,225,0,4,19,78,71,2
2018-07-09,193,0,2,20,64,68,0
2018-07-10,221,0,3,26,69,60,0
2018-07-11,186,0,3,35,62,73,0
2018-07-12,209,0,2,22,71,68,1
2018-07-13,202,0,4,24,64,66,0
2018-07-14,226,0,2,23,71,67,0
2018-07-15,226,0,2,30,69,75,0
2018-07-16,248,0,1,26,78,54,0
2018-07-17,199,0,1,29,66,57,1
2018-07-18,214,0,3,35,75,63,1
2018-07-19,164,0,2,20,93,76,0
2018-07-20,226,0,1,20,71,48,0
2018-07-21,215,0,0,33,64,70,0
2018-07-22,177,0,8,26,69,52,0
2018-07-23,216,0,4,13,78,57,1
2018-07-24,193,0,2,37,68,63,1
2018-07-25,180,0,2,27,79,72,0
2018-07-26,189,0,0,38,67,67,1
2018-07-27,215,0,1,30,69,60,1
2018-07-28,218,0,0,34,74,65,1
2018-07-29,197,0,1,23,81,49,0
2018-07-30,216,0,1,27,45,67,0
2018-07-31,202,0,0,31,58,69,1
2018-08-01,204,0,2,32,62,75,0
2018-08-02,227,0,0,28,73,78,0
2018-08-03,179,0,0,29,69,60,0
2018-08-04,206,0,1,39,80,71,1
2018-08-05,225,0,0,32,73,63,0
2018-08-06,198,0,0,28,58,66,0
2018-08-07,199,0,0,26,73,67,0
2018-08-08,224,0,1,40,64,64,1
2018-08-09,210,0,0,35,63,66,1
2018-08-10,226,0,0,21,78,59,0
2018-08-11,221,0,1,31,80,65,0
2018-08-12,218,0,0,27,54,51,1
2018-08-13,238,0,1,26,66,54,0
2018-08-14,217,0,0,27,66,58,0
2018-08-15,198,0,3,39,79,54,0
2018-08-16,203,0,1,49,68,67,0
2018-08-17,206,0,0,29,62,76,0
2018-08-18,204,0,0,36,81,71,0
2018-08-19,223,0,0,18,73,66,0
2018-08-20,238,0,0,23,53,64,1
2018-08-21,219,0,0,32,70,51,0
2018-08-22,176,0,0,28,76,79,0
2018-08-23,199,0,0,32,76,73,0
2018-08-24,220,0,0,30,70,70,0
2018-08-25,192,0,0,30,46,69,0
2018-08-26,233,0,0,38,75,57,1
2018-08-27,202,0,0,26,55,65,1
2018-08-28,192,0,0,26,75,80,0
2018-08-29,210,0,0,41,63,63,0
2018-08-30,210,0,1,37,76,64,0
2018-08-31,210,0,0,29,65,68,0
2018-09-01,182,0,0,26,68,55,0
2018-09-02,195,0,1,28,73,72,0
2018-09-03,202,0,0,22,76,62,0
2018-09-04,187,0,0,22,69,70,0
2018-09-05,209,0,0,22,59,65,0
2018-09-06,198,0,0,30,73,72,1
2018-09-07,202,0,0,40,73,57,0
2018-09-08,204,0,0,32,57,75,0
2018-09-09,180,0,0,25,64,71,0
2018-09-10,221,0,0,23,72,64,0
2018-09-11,201,0,0,28,61,50,0
2018-09-12,228,0,0,24,61,59,0
2018-09-13,203,0,1,29,76,55,2
2018-09-14,199,0,0,18,79,67,0
2018-09-15,200,0,0,34,71,53,0
2018-09-16,204,0,0,26,82,61,0
2018-09-17,211,0,0,25,66,58,0
2018-09-18,217,0,1,35,64,51,0
2018-09-19,210,0,0,24,69,66,0
2018-09-20,181,0,0,22,50,72,0
2018-09-21,189,0,0,30,51,49,0
2018-09-22,206,0,1,22,79,49,0
2018-09-23,164,0,1,27,65,52,0
2018-09-24,156,0,1,35,54,48,0
2018-09-25,184,0,0,15,55,53,0
2018-09-26,186,0,0,29,66,64,0
2018-09-27,206,0,0,34,62,56,0
2018-09-28,185,0,0,26,68,56,0
2018-09-29,185,0,0,23,66,56,0
2018-09-30,167,0,0,21,71,57,0
2018-10-01,146,0,1,23,40,46,0
2018-10-02,187,0,1,16,56,49,0
2018-10-03,182,0,0,17,71,49,0
2018-10-04,201,0,1,20,68,66,0
2018-10-05,187,0,0,31,46,67,0
