DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-09-28,211,0,1,27,77,70,0
2019-09-29,191,0,0,13,58,52,0
2019-09-30,192,0,5,20,61,58,0
2019-10-01,200,0,3,26,69,69,0
2019-10-02,222,0,2,24,61,69,0
2019-10-03,206,0,5,28,77,68,1
2019-10-04,197,0,4,33,67,68,0
2019-10-05,208,0,9,22,60,71,0
2019-10-06,197,0,4,30,74,55,0
2019-10-07,205,0,4,28,69,75,0
2019-10-08,169,0,2,21,75,52,0
2019-10-09,212,0,7,20,64,55,0
2019-10-10,180,0,3,20,69,69,0
2019-10-11,195,0,4,37,68,59,0
2019-10-12,223,0,4,35,81,74,1
2019-10-13,219,0,1,26,65,62,0
2019-10-14,216,0,6,31,72,78,0
2019-10-15,224,0,3,35,60,52,1
2019-10-16,172,0,2,17,70,67,2
2019-10-17,201,0,2,21,47,67,0
2019-10-18,194,0,4,32,52,63,0
2019-10-19,188,0,3,28,69,61,0
2019-10-20,205,0,1,24,71,68,1
2019-10-21,221,0,5,14,63,66,0
2019-10-22,196,0,3,25,69,69,0
2019-10-23,182,0,2,23,69,61,0
2019-10-24,192,0,4,25,65,61,0
2019-10-25,189,0,5,27,62,67,0
2019-10-26,209,0,3,34,53,72,0
2019-10-27,218,0,4,35,69,69,1
2019-10-28,195,0,8,22,72,87,0
2019-10-29,217,0,3,26,65,75,0
2019-10-30,206,0,2,25,63,54,0
2019-10-31,195,0,3,27,67,63,2
2019-11-01,186,0,2,30,60,64,0
2019-11-02,167,0,3,18,63,53,1
2019-11-03,205,0,3,36,66,60,0
2019-11-04,196,0,2,21,54,66,2
2019-11-05,207,0,6,26,75,64,0
2019-11-06,180,0,6,34,60,60,0
2019-11-07,191,0,4,23,50,63,0
2019-11-08,180,0,1,29,54,63,0
2019-11-09,173,0,6,19,83,51,1
2019-11-10,223,0,6,30,56,65,0
2019-11-11,186,0,5,27,66,61,0
2019-11-12,212,0,6,27,58,65,0
2019-11-13,171,0,3,30,69,44,0
2019-11-14,201,0,4,30,76,73,0
2019-11-15,217,0,3,25,59,52,0
2019-11-16,177,0,4,22,62,67,0
2019-11-17,189,0,4,25,67,66,0
2019-11-18,180,0,3,21,55,59,0
2019-11-19,197,0,2,29,60,64,1
2019-11-20,192,0,3,24,63,62,0
2019-11-21,207,0,4,30,70,63,0
2019-11-22,229,0,6,32,63,58,0
2019-11-23,232,0,2,24,68,92,0
2019-11-24,221,0,2,22,90,64,1
2019-11-25,201,0,3,25,76,60,0
2019-11-26,199,0,6,21,64,76,0
2019-11-27,214,0,3,32,75,56,0
2019-11-28,199,0,3,26,65,63,0
2019-11-29,184,0,2,28,63,71,0
2019-11-30,208,0,6,27,63,59,0
2019-12-01,231,0,5,27,66,64,0
2019-12-02,208,0,3,25,68,71,0
2019-12-03,180,0,1,25,49,66,1
2019-12-04,184,0,2,19,64,64,0
2019-12-05,206,0,2,29,59,67,0
2019-12-06,226,0,6,31,59,78,2
2019-12-07,208,0,3,33,60,59,0
2019-12-08,214,0,6,20,70,49,1
2019-12-09,212,0,1,27,59,53,0
2019-12-10,212,0,3,30,61,70,0
2019-12-11,226,0,3,27,60,76,0
2019-12-12,177,0,2,28,81,74,0
2019-12-13,202,0,5,26,64,57,2
2019-12-14,201,0,3,29,73,69,0
2019-12-15,250,0,8,32,70,63,0
2019-12-16,227,0,1,26,58,63,0
2019-12-17,204,0,2,25,73,70,0
2019-12-18,226,0,2,22,66,74,0
2019-12-19,199,0,2,26,82,52,2
2019-12-20,207,0,2,28,62,69,1
2019-12-21,224,0,3,28,62,55,0
2019-12-22,254,0,3,36,67,79,1
2019-12-23,222,0,2,25,77,55,0
2019-12-24,187,0,4,30,60,68,1
2019-12-25,201,0,6,18,56,68,0
2019-12-26,233,0,5,27,71,57,1
2019-12-27,209,0,3,30,63,74,0
2019-12-28,171,0,3,23,61,55,0
2019-12-29,218,0,2,34,68,76,1
2019-12-30,193,0,5,29,65,66,1
2019-12-31,213,0,2,28,69,64,0
2020-01-01,240,0,5,37,86,66,1
2020-01-02,213,0,4,24,70,62,1
2020-01-03,212,0,4,29,71,61,0
2020-01-04,187,0,6,22,69,60,0
2020-01-05,192,0,4,24,69,57,0
2020-01-06,204,0,9,22,69,55,1
2020-01-07,225,0,0,30,57,76,0
2020-01-08,198,0,5,22,52,59,1
2020-01-09,210,0,3,43,75,57,0
2020-01-10,179,0,4,27,76,63,0
2020-01-11,256,0,6,28,54,57,0
2020-01-12,259,0,4,22,76,62,0
2020-01-13,223,0,4,28,67,56,1
2020-01-14,181,0,0,18,66,63,0
2020-01-15,212,0,3,25,73,58,0
2020-01-16,198,0,5,36,61,74,1
2020-01-17,218,0,6,32,63,76,0
2020-01-18,210,0,3,20,72,76,0
2020-01-19,198,0,5,17,95,54,1
2020-01-20,173,0,2,16,65,51,0
2020-01-21,181,0,3,28,61,50,1
2020-01-22,185,0,4,22,62,60,1
2020-01-23,201,0,4,27,66,72,0
2020-01-24,193,0,7,20,54,62,0
2020-01-25,220,0,5,25,73,69,0
2020-01-26,206,0,4,28,68,67,1
2020-01-27,202,0,2,24,69,65,0
2020-01-28,188,0,4,25,74,58,0
2020-01-29,195,0,2,27,60,48,0
2020-01-30,216,0,5,36,90,60,1
2020-01-31,217,0,2,27,63,80,0
2020-02-01,185,0,4,27,64,65,0
2020-02-02,208,0,4,34,67,71,0
2020-02-03,215,0,5,30,68,70,1
2020-02-04,175,0,7,28,81,63,0
2020-02-05,171,0,3,28,61,59,0
2020-02-06,209,0,2,25,65,72,0
2020-02-07,203,0,5,30,57,52,0
2020-02-08,208,0,6,18,70,72,0
2020-02-09,215,0,1,28,65,59,0
2020-02-10,208,0,7,26,64,47,0
2020-02-11,181,0,1,29,67,60,0
2020-02-12,205,0,6,25,54,68,1
2020-02-13,198,0,3,27,52,63,0
2020-02-14,203,0,7,29,53,63,0
2020-02-15,242,0,2,19,64,69,0
2020-02-16,220,0,0,22,68,58,0
2020-02-17,229,0,2,24,51,60,0
2020-02-18,210,0,6,25,59,64,0
2020-02-19,199,0,5,33,71,79,1
2020-02-20,232,0,5,27,69,69,0
2020-02-21,192,0,2,38,58,80,0
2020-02-22,207,0,4,23,57,60,0
2020-02-23,177,0,7,23,52,66,1
2020-02-24,178,0,0,31,49,62,0
2020-02-25,225,0,4,40,66,76,0
2020-02-26,204,0,8,30,67,63,0
2020-02-27,197,0,5,33,64,69,0
2020-02-28,192,0,8,25,56,64,0
2020-02-29,184,0,2,26,56,63,1
2020-03-01,194,0,3,26,58,65,1
2020-03-02,213,0,2,23,71,65,0
2020-03-03,213,0,4,35,72,71,0
2020-03-04,239,0,6,33,68,70,0
2020-03-05,222,0,5,25,70,65,0
2020-03-06,209,0,0,28,57,83,0
2020-03-07,224,0,2,26,63,60,0
2020-03-08,204,0,2,26,71,72,0
2020-03-09,227,0,1,32,70,61,1
2020-03-10,176,0,5,21,65,71,0
2020-03-11,217,0,10,25,71,66,1
2020-03-12,218,0,7,24,54,65,0
2020-03-13,210,0,3,29,66,74,0
2020-03-14,208,0,5,32,74,78,1
2020-03-15,219,0,2,32,79,73,1
2020-03-16,210,0,7,35,72,66,0
2020-03-17,216,0,8,37,75,72,1
2020-03-18,224,0,6,21,62,79,2
2020-03-19,200,1,3,36,80,89,1
2020-03-20,205,1,6,41,79,77,0
2020-03-21,196,1,9,36,82,78,1
2020-03-22,195,1,5,22,73,61,1
2020-03-23,203,2,3,27,68,65,1
2020-03-24,191,1,4,31,60,60,1
2020-03-25,191,6,3,29,78,57,1
2020-03-26,212,6,10,36,62,52,2
2020-03-27,208,5,3,29,58,75,1
2020-03-28,209,8,7,30,68,62,1
2020-03-29,208,6,5,36,54,70,0
2020-03-30,213,12,6,26,76,53,1
2020-03-31,205,22,3,25,69,65,2
2020-04-01,222,23,6,35,53,60,2
2020-04-02,204,28,2,28,83,73,4
2020-04-03,223,32,4,31,78,54,4
2020-04-04,202,34,7,19,65,57,0
2020-04-05,200,38,6,37,70,58,3
2020-04-06,200,30,2,24,60,62,6
2020-04-07,207,31,0,37,76,71,5
2020-04-08,216,45,4,34,77,64,3
2020-04-09,234,51,3,23,73,70,6
2020-04-10,193,47,7,23,73,59,6
2020-04-11,186,48,4,35,68,49,5
2020-04-12,193,68,9,34,74,49,8
2020-04-13,213,53,7,43,70,62,9
2020-04-14,227,58,5,35,96,63,10
2020-04-15,231,87,14,42,71,59,6
2020-04-16,237,86,6,36,84,59,9
2020-04-17,218,78,5,38,79,49,17
2020-04-18,231,94,5,41,96,60,13
2020-04-19,244,113,9,57,92,56,7
2020-04-20,244,122,9,51,100,49,12
2020-04-21,236,110,8,56,97,70,11
2020-04-22,255,151,10,40,90,61,19
2020-04-23,234,142,5,43,92,61,19
2020-04-24,270,156,9,42,101,65,19
2020-04-25,256,182,5,55,101,49,25
2020-04-26,275,190,6,51,79,50,35
2020-04-27,268,172,6,41,99,54,20
2020-04-28,276,217,8,55,96,61,21
2020-04-29,253,221,2,44,89,72,21
2020-04-30,237,243,5,43,104,64,21
2020-05-01,279,215,12,44,88,53,37
2020-05-02,293,216,10,37,109,55,33
2020-05-03,263,242,7,33,89,57,35
2020-05-04,299,243,7,51,88,62,30
2020-05-05,251,246,9,46,102,45,29
2020-05-06,266,280,7,45,84,57,24
2020-05-07,289,268,5,37,80,47,18
2020-05-08,253,258,7,28,86,45,18
2020-05-09,304,271,14,27,86,46,25
2020-05-10,284,267,7,31,89,51,18
2020-05-11,259,238,12,37,85,48,17
2020-05-12,271,260,6,46,76,50,15
2020-05-13,249,219,1,34,84,63,20
2020-05-14,251,254,8,46,73,50,19
2020-05-15,219,221,6,48,64,40,21
2020-05-16,286,217,12,33,69,53,19
2020-05-17,234,220,6,27,66,44,21
2020-05-18,261,207,10,28,64,50,13
2020-05-19,219,197,4,28,74,49,16
2020-05-20,204,181,5,25,58,55,13
2020-05-21,216,192,3,28,63,50,15
2020-05-22,255,207,6,37,58,45,19
2020-05-23,230,211,10,21,58,54,7
2020-05-24,233,199,9,24,49,44,12
2020-05-25,224,190,2,44,68,35,12
2020-05-26,226,169,5,27,60,55,8
2020-05-27,230,173,5,25,66,51,12
2020-05-28,222,198,6,34,57,50,10
2020-05-29,203,192,6,22,55,46,12
2020-05-30,229,153,9,29,63,46,11
2020-05-31,263,145,4,32,51,33,10
2020-06-01,204,164,12,25,71,42,14
2020-06-02,190,141,3,32,50,50,8
2020-06-03,216,167,2,28,56,44,5
2020-06-04,212,145,6,33,59,49,6
2020-06-05,214,134,3,40,56,50,8
2020-06-06,198,147,7,32,64,58,3
2020-06-07,189,121,4,28,55,42,7
2020-06-08,203,104,5,29,41,46,15
2020-06-09,191,126,4,28,51,45,5
2020-06-10,198,131,4,26,50,42,6
2020-06-11,192,121,2,32,59,48,6
2020-06-12,196,121,5,29,47,44,12
2020-06-13,189,104,8,36,61,40,6
2020-06-14,188,103,3,32,57,50,7
2020-06-15,209,109,8,23,57,50,3
2020-06-16,193,106,9,30,53,48,5
2020-06-17,190,84,2,24,60,37,9
2020-06-18,217,88,5,29,43,43,9
2020-06-19,195,112,4,25,49,43,8
2020-06-20,219,75,4,24,53,58,4
2020-06-21,215,92,2,31,60,59,6
2020-06-22,206,78,8,23,46,45,10
2020-06-23,177,89,6,23,34,41,0
2020-06-24,192,75,1,26,41,62,6
2020-06-25,193,84,1,23,42,47,7
2020-06-26,204,72,4,16,45,47,4
2020-06-27,184,66,5,21,39,56,7
2020-06-28,208,83,0,33,36,42,2
2020-06-29,179,81,3,12,48,45,7
2020-06-30,184,78,4,33,47,44,2
2020-07-01,200,78,8,26,56,54,4
2020-07-02,211,76,1,27,46,45,3
2020-07-03,206,72,6,31,53,49,4
2020-07-04,201,60,1,20,54,55,4
2020-07-05,186,64,2,17,39,59,3
2020-07-06,159,67,3,19,47,54,5
2020-07-07,191,79,4,17,58,48,5
2020-07-08,192,80,5,24,57,55,4
2020-07-09,201,70,2,34,48,55,4
2020-07-10,196,56,6,27,50,53,4
2020-07-11,181,55,3,21,37,54,3
2020-07-12,199,68,6,28,49,54,1
2020-07-13,199,72,6,24,47,46,0
2020-07-14,179,80,0,23,49,57,3
2020-07-15,185,50,0,24,51,55,5
2020-07-16,189,53,4,21,44,60,2
2020-07-17,190,60,4,25,55,51,5
2020-07-18,202,65,3,19,49,61,3
2020-07-19,182,76,6,32,40,43,7
2020-07-20,217,42,5,21,53,53,6
2020-07-21,168,66,3,37,57,46,5
2020-07-22,169,62,2,17,43,51,3
2020-07-23,175,69,6,24,36,61,2
2020-07-24,162,52,5,17,43,45,2
2020-07-25,166,45,8,19,53,49,4
2020-07-26,138,35,8,20,37,30,2
2020-07-27,140,33,1,18,37,32,1
2020-07-28,94,41,1,7,17,27,2
2020-07-29,22,5,0,1,4,5,0
