DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,42,0,2,9,26,6,0
2018-05-30,37,0,0,7,15,15,0
2018-05-31,45,0,0,7,12,3,1
2018-06-01,40,0,0,10,14,10,0
2018-06-02,36,0,1,8,12,5,0
2018-06-03,55,0,0,6,21,10,0
2018-06-04,32,0,0,8,16,15,0
2018-06-05,39,0,0,7,19,14,0
2018-06-06,44,0,0,4,17,12,0
2018-06-07,37,0,0,5,15,11,0
2018-06-08,28,0,0,13,16,12,0
2018-06-09,39,0,0,8,13,7,1
2018-06-10,42,0,1,9,15,4,0
2018-06-11,47,0,0,5,25,9,0
2018-06-12,43,0,1,5,11,5,1
2018-06-13,41,0,0,6,17,7,0
2018-06-14,43,0,0,5,16,10,0
2018-06-15,47,0,0,7,10,9,0
2018-06-16,44,0,0,9,16,9,0
2018-06-17,33,0,0,10,12,10,0
2018-06-18,44,0,0,8,10,10,0
2018-06-19,41,0,0,3,13,13,0
2018-06-20,35,0,0,7,13,10,0
2018-06-21,39,0,0,7,24,7,0
2018-06-22,44,0,1,5,13,8,0
2018-06-23,35,0,0,10,17,7,0
2018-06-24,43,0,0,7,13,8,0
2018-06-25,35,0,0,8,16,12,0
2018-06-26,50,0,1,8,12,12,0
2018-06-27,43,0,0,8,9,6,0
2018-06-28,41,0,0,13,17,13,3
2018-06-29,44,0,1,5,14,11,0
2018-06-30,36,0,1,6,17,7,0
2018-07-01,43,0,0,6,12,10,0
2018-07-02,38,0,1,7,16,13,0
2018-07-03,29,0,0,5,19,9,0
2018-07-04,37,0,0,8,16,6,0
2018-07-05,44,0,3,5,19,4,0
2018-07-06,42,0,0,6,10,13,0
2018-07-07,43,0,0,4,22,16,0
2018-07-08,37,0,0,7,21,8,0
2018-07-09,47,0,1,6,15,4,0
2018-07-10,30,0,0,8,15,10,0
2018-07-11,41,0,2,8,12,9,0
2018-07-12,43,0,0,5,21,8,0
2018-07-13,49,0,1,12,15,15,0
2018-07-14,40,0,1,6,11,8,0
2018-07-15,41,0,0,3,14,7,0
2018-07-16,26,0,0,9,14,9,0
2018-07-17,38,0,1,5,21,13,0
2018-07-18,32,0,0,4,14,9,0
2018-07-19,31,0,0,10,16,7,0
2018-07-20,39,0,0,8,11,7,0
2018-07-21,34,0,0,6,14,13,0
2018-07-22,43,0,0,5,15,9,0
2018-07-23,40,0,0,1,14,12,0
2018-07-24,42,0,0,4,8,7,0
2018-07-25,37,0,0,9,13,7,0
2018-07-26,44,0,0,12,10,6,0
2018-07-27,41,0,0,6,19,4,0
2018-07-28,34,0,2,4,16,14,1
2018-07-29,39,0,0,9,13,12,0
2018-07-30,42,0,0,4,9,8,0
2018-07-31,37,0,0,10,17,13,0
2018-08-01,35,0,0,8,9,16,0
2018-08-02,47,0,0,5,17,16,0
2018-08-03,33,0,1,6,10,3,0
2018-08-04,24,0,0,11,25,4,0
2018-08-05,30,0,1,5,8,8,0
2018-08-06,33,0,0,6,9,11,0
2018-08-07,24,0,0,5,15,10,0
2018-08-08,40,0,0,8,13,5,0
2018-08-09,35,0,0,7,13,6,0
2018-08-10,34,0,0,6,11,5,0
2018-08-11,40,0,0,8,12,4,0
2018-08-12,53,0,0,7,13,8,0
2018-08-13,45,0,0,5,16,11,0
2018-08-14,42,0,0,9,9,13,0
2018-08-15,42,0,1,8,21,8,0
2018-08-16,39,0,0,4,7,5,0
2018-08-17,29,0,0,5,17,11,0
2018-08-18,40,0,1,5,12,5,0
2018-08-19,50,0,0,10,11,7,0
2018-08-20,33,0,1,5,20,14,0
2018-08-21,35,0,0,6,10,8,0
2018-08-22,42,0,0,5,16,8,0
2018-08-23,33,0,0,8,8,6,0
2018-08-24,27,0,0,9,10,9,0
2018-08-25,41,0,0,2,10,9,0
2018-08-26,28,0,0,2,18,5,0
2018-08-27,39,0,1,2,11,8,0
2018-08-28,31,0,0,5,12,8,0
2018-08-29,21,0,0,5,11,10,0
2018-08-30,46,0,0,4,6,10,0
2018-08-31,29,0,0,7,12,6,0
2018-09-01,34,0,0,9,17,12,0
2018-09-02,40,0,1,6,12,6,0
2018-09-03,34,0,0,8,16,7,0
2018-09-04,36,0,1,3,11,7,0
2018-09-05,38,0,0,8,11,12,0
2018-09-06,47,0,1,5,8,13,0
2018-09-07,39,0,0,3,12,12,0
2018-09-08,22,0,0,10,9,11,0
2018-09-09,37,0,0,5,16,8,0
2018-09-10,54,0,0,8,12,4,0
2018-09-11,37,0,0,1,7,6,0
2018-09-12,39,0,0,4,11,10,0
2018-09-13,38,0,1,8,17,8,0
2018-09-14,42,0,0,5,4,10,0
2018-09-15,31,0,0,3,17,6,0
2018-09-16,45,0,0,4,19,9,0
2018-09-17,45,0,0,3,9,8,0
2018-09-18,34,0,0,7,10,10,0
2018-09-19,38,0,0,4,9,5,0
2018-09-20,30,0,0,10,7,8,0
2018-09-21,29,0,0,11,18,10,0
2018-09-22,36,0,0,6,11,8,0
2018-09-23,35,0,0,4,14,4,0
2018-09-24,38,0,1,4,12,7,0
2018-09-25,31,0,0,7,9,13,0
2018-09-26,22,0,0,10,8,6,0
2018-09-27,43,0,0,8,8,11,0
2018-09-28,38,0,0,6,20,8,0
2018-09-29,42,0,0,2,6,5,0
2018-09-30,39,0,0,7,18,9,0
2018-10-01,35,0,1,3,12,6,0
2018-10-02,35,0,0,8,8,6,0
2018-10-03,46,0,0,9,14,13,0
2018-10-04,34,0,0,8,11,7,0
2018-10-05,36,0,0,8,15,7,0
2018-10-06,32,0,1,9,12,9,0
2018-10-07,40,0,0,3,9,8,0
2018-10-08,46,0,0,5,11,6,0
2018-10-09,42,0,0,7,14,11,0
2018-10-10,31,0,0,6,13,7,0
2018-10-11,37,0,0,10,10,11,1
2018-10-12,26,0,0,3,12,9,1
2018-10-13,41,0,0,5,11,8,1
2018-10-14,38,0,0,4,8,5,0
2018-10-15,37,0,0,6,17,10,0
2018-10-16,39,0,0,5,13,7,0
2018-10-17,32,0,1,10,17,7,0
2018-10-18,47,0,0,4,13,10,0
2018-10-19,48,0,0,8,11,11,0
2018-10-20,28,0,0,5,12,4,0
2018-10-21,37,0,0,6,11,12,0
2018-10-22,39,0,0,7,16,11,0
2018-10-23,31,0,1,11,12,11,0
2018-10-24,42,0,0,7,8,9,0
2018-10-25,33,0,0,5,10,11,0
2018-10-26,47,0,0,9,10,10,0
2018-10-27,47,0,0,5,12,12,0
2018-10-28,35,0,0,3,8,14,0
2018-10-29,31,0,0,8,12,5,1
2018-10-30,42,0,0,7,12,14,0
2018-10-31,34,0,1,9,7,6,0
2018-11-01,37,0,2,4,14,7,0
2018-11-02,28,0,0,8,10,7,0
2018-11-03,51,0,0,3,9,9,0
2018-11-04,35,0,0,3,9,9,0
2018-11-05,41,0,0,4,11,8,0
2018-11-06,43,0,0,5,13,6,0
2018-11-07,33,0,2,8,9,13,0
2018-11-08,35,0,0,7,15,12,0
2018-11-09,37,0,0,3,7,12,0
2018-11-10,24,0,0,9,6,5,0
2018-11-11,41,0,0,3,9,6,0
2018-11-12,38,0,1,10,12,4,0
2018-11-13,49,0,0,5,15,10,0
2018-11-14,44,0,0,13,13,13,0
2018-11-15,29,0,0,4,4,9,0
2018-11-16,37,0,2,3,11,11,0
2018-11-17,31,0,0,9,8,8,0
2018-11-18,34,0,0,4,14,9,0
2018-11-19,38,0,0,8,8,9,0
2018-11-20,39,0,0,5,9,5,1
2018-11-21,44,0,0,11,17,8,0
2018-11-22,41,0,0,11,13,10,0
2018-11-23,25,0,2,2,7,10,0
2018-11-24,33,0,0,1,9,7,0
2018-11-25,35,0,1,3,8,5,0
2018-11-26,27,0,0,3,8,11,0
2018-11-27,33,0,0,6,8,7,0
2018-11-28,29,0,0,7,14,5,0
2018-11-29,34,0,0,7,10,14,1
2018-11-30,31,0,0,2,8,12,0
2018-12-01,35,0,0,5,11,1,0
2018-12-02,27,0,1,6,12,6,0
2018-12-03,31,0,0,4,10,5,1
2018-12-04,28,0,0,1,11,8,0
2018-12-05,31,0,0,6,9,11,0
2018-12-06,25,0,1,6,12,6,0
2018-12-07,38,0,0,8,8,9,0
2018-12-08,25,0,0,4,6,9,0
2018-12-09,33,0,0,4,6,9,0
2018-12-10,36,0,0,6,8,5,1
2018-12-11,32,0,1,8,9,13,0
2018-12-12,30,0,0,11,11,4,0
2018-12-13,28,0,0,5,7,10,0
2018-12-14,36,0,1,4,7,12,0
2018-12-15,33,0,1,4,10,7,0
2018-12-16,29,0,0,3,17,9,0
2018-12-17,35,0,1,9,18,9,0
2018-12-18,29,0,0,9,7,5,0
2018-12-19,39,0,1,2,8,4,0
2018-12-20,27,0,0,2,13,5,0
2018-12-21,36,0,0,4,17,8,0
2018-12-22,25,0,0,8,8,8,0
2018-12-23,42,0,1,3,14,15,0
