DATA_OBITO,OUTRAS,COVID - SE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,13,0,0,3,8,4,0
2018-05-30,19,0,0,3,6,5,0
2018-05-31,18,0,0,2,5,4,0
2018-06-01,18,0,0,3,2,7,0
2018-06-02,14,0,0,3,6,3,0
2018-06-03,15,0,0,3,5,10,0
2018-06-04,19,0,0,5,9,6,0
2018-06-05,18,0,0,2,7,5,0
2018-06-06,15,0,0,4,3,4,0
2018-06-07,20,0,0,2,6,6,0
2018-06-08,19,0,0,1,7,3,1
2018-06-09,14,0,0,5,8,3,0
2018-06-10,18,0,1,5,5,5,0
2018-06-11,16,0,0,1,7,8,0
2018-06-12,23,0,0,1,5,4,0
2018-06-13,19,0,0,3,11,1,0
2018-06-14,12,0,0,0,5,2,0
2018-06-15,18,0,0,4,4,6,0
2018-06-16,13,0,0,0,8,10,0
2018-06-17,15,0,0,2,6,5,0
2018-06-18,14,0,1,6,5,5,0
2018-06-19,25,0,0,1,6,5,0
2018-06-20,22,0,0,3,3,6,0
2018-06-21,19,0,0,2,4,4,0
2018-06-22,16,0,1,2,4,6,0
2018-06-23,21,0,0,4,8,8,0
2018-06-24,17,0,1,5,6,4,0
2018-06-25,18,0,0,4,5,9,0
2018-06-26,19,0,0,0,6,6,0
2018-06-27,19,0,1,3,10,8,0
2018-06-28,15,0,1,5,9,3,0
2018-06-29,20,0,0,1,4,8,0
2018-06-30,19,0,0,4,3,9,0
2018-07-01,14,0,0,2,2,7,0
2018-07-02,13,0,1,4,6,9,0
2018-07-03,23,0,0,1,4,9,0
2018-07-04,22,0,0,8,7,8,0
2018-07-05,16,0,0,2,12,8,0
2018-07-06,6,0,1,1,7,4,0
2018-07-07,20,0,2,5,8,7,0
2018-07-08,15,0,1,4,5,4,0
2018-07-09,22,0,0,0,5,4,0
2018-07-10,14,0,3,1,4,5,0
2018-07-11,22,0,0,0,4,7,0
2018-07-12,23,0,1,3,8,3,0
2018-07-13,18,0,2,2,6,2,0
2018-07-14,20,0,0,3,1,6,0
2018-07-15,13,0,0,3,7,5,0
2018-07-16,20,0,1,1,3,11,0
2018-07-17,16,0,0,2,5,1,0
2018-07-18,22,0,1,3,1,8,0
