DATA_OBITO,OUTRAS,COVID - SE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-10-11,16,0,0,1,7,5,0
2019-10-12,15,0,0,1,4,5,0
2019-10-13,16,0,0,3,6,7,0
2019-10-14,25,0,0,1,4,4,0
2019-10-15,16,0,0,3,7,6,0
2019-10-16,16,0,1,0,5,2,0
2019-10-17,14,0,0,1,4,2,0
2019-10-18,18,0,1,0,6,3,0
2019-10-19,13,0,0,2,2,10,0
2019-10-20,19,0,0,2,7,4,0
2019-10-21,12,0,0,3,7,3,0
2019-10-22,17,0,0,8,4,8,0
2019-10-23,14,0,0,3,3,5,1
2019-10-24,17,0,0,1,5,3,0
2019-10-25,13,0,0,1,3,6,0
2019-10-26,19,0,0,1,7,5,0
2019-10-27,20,0,0,3,7,3,0
2019-10-28,20,0,2,0,4,5,0
2019-10-29,11,0,0,1,4,5,0
2019-10-30,16,0,0,1,7,4,0
2019-10-31,16,0,0,1,3,7,0
2019-11-01,14,0,0,3,3,2,0
2019-11-02,11,0,0,2,7,3,0
2019-11-03,14,0,0,0,8,6,0
2019-11-04,17,0,0,3,3,3,0
2019-11-05,14,0,1,4,1,5,1
2019-11-06,16,0,1,3,4,6,0
2019-11-07,22,0,1,3,2,3,0
2019-11-08,12,0,1,3,3,12,0
2019-11-09,17,0,0,0,4,2,0
2019-11-10,11,0,1,7,3,0,0
2019-11-11,19,0,0,2,1,7,0
2019-11-12,15,0,0,4,2,5,0
2019-11-13,13,0,0,3,1,10,0
2019-11-14,16,0,0,1,3,4,0
2019-11-15,9,0,0,2,8,6,0
2019-11-16,16,0,1,2,1,2,0
2019-11-17,9,0,0,0,5,4,0
2019-11-18,14,0,1,3,2,3,0
2019-11-19,14,0,0,3,2,6,0
2019-11-20,12,0,0,1,2,6,0
2019-11-21,17,0,0,2,8,1,0
2019-11-22,12,0,1,4,5,4,0
2019-11-23,9,0,0,1,4,6,0
2019-11-24,23,0,0,3,2,4,0
2019-11-25,18,0,0,1,5,5,0
2019-11-26,10,0,0,5,3,5,0
2019-11-27,20,0,2,6,5,7,0
2019-11-28,15,0,0,4,7,6,0
2019-11-29,18,0,0,1,6,4,0
2019-11-30,11,0,1,2,3,7,0
2019-12-01,12,0,0,1,3,3,0
2019-12-02,12,0,1,2,3,4,0
2019-12-03,14,0,0,2,7,7,0
2019-12-04,10,0,0,1,5,5,0
2019-12-05,15,0,2,3,5,6,1
2019-12-06,18,0,0,5,4,11,0
2019-12-07,15,0,0,4,4,6,0
2019-12-08,22,0,0,2,5,4,0
2019-12-09,22,0,0,2,5,3,0
2019-12-10,16,0,0,3,9,11,0
2019-12-11,17,0,0,3,5,2,0
2019-12-12,17,0,0,1,4,8,0
2019-12-13,15,0,1,1,5,5,0
2019-12-14,11,0,0,4,8,5,0
2019-12-15,16,0,0,1,11,2,0
2019-12-16,11,0,0,3,4,7,0
2019-12-17,14,0,0,2,4,2,0
2019-12-18,20,0,0,1,3,2,0
2019-12-19,20,0,0,3,3,5,0
2019-12-20,13,0,0,1,2,8,0
2019-12-21,12,0,0,4,4,7,0
2019-12-22,13,0,0,4,3,9,0
2019-12-23,14,0,0,0,7,2,0
2019-12-24,14,0,0,0,4,5,0
2019-12-25,16,0,0,2,6,8,0
2019-12-26,16,0,1,0,6,6,0
2019-12-27,20,0,0,1,5,5,0
2019-12-28,11,0,0,4,3,3,0
2019-12-29,16,0,0,3,5,5,0
2019-12-30,14,0,0,1,3,1,0
2019-12-31,10,0,0,2,4,10,0
2020-01-01,18,0,0,3,6,3,0
2020-01-02,16,0,1,1,8,11,0
2020-01-03,14,0,0,3,4,6,0
2020-01-04,15,0,1,3,2,9,0
2020-01-05,21,0,0,2,3,5,0
2020-01-06,25,0,1,2,4,5,0
2020-01-07,21,0,0,3,2,3,0
2020-01-08,17,0,0,4,2,6,0
2020-01-09,11,0,0,3,4,7,0
2020-01-10,10,0,0,4,1,6,0
2020-01-11,8,0,0,3,3,4,0
2020-01-12,17,0,2,1,5,5,0
2020-01-13,13,0,0,2,3,8,0
2020-01-14,17,0,0,0,6,4,0
2020-01-15,23,0,0,1,6,5,0
2020-01-16,17,0,0,2,4,5,0
2020-01-17,13,0,0,1,9,5,0
2020-01-18,19,0,0,0,6,9,0
2020-01-19,29,0,0,1,1,9,0
2020-01-20,14,0,0,1,4,6,0
2020-01-21,10,0,0,5,5,8,0
2020-01-22,13,0,0,2,7,1,0
2020-01-23,16,0,2,4,3,3,0
2020-01-24,17,0,0,3,6,3,0
2020-01-25,19,0,0,5,4,2,0
2020-01-26,26,0,0,6,6,7,0
2020-01-27,16,0,0,1,4,3,0
2020-01-28,13,0,1,3,8,9,0
2020-01-29,13,0,0,5,8,6,0
2020-01-30,18,0,0,1,5,3,0
2020-01-31,18,0,0,2,8,5,0
2020-02-01,16,0,0,3,5,7,0
2020-02-02,13,0,0,3,3,6,0
2020-02-03,22,0,1,3,2,4,0
2020-02-04,27,0,0,6,4,5,0
2020-02-05,15,0,0,2,5,1,0
2020-02-06,23,0,1,3,4,10,0
2020-02-07,20,0,2,1,3,8,0
2020-02-08,9,0,0,0,5,8,0
2020-02-09,12,0,0,2,2,1,0
2020-02-10,17,0,0,3,6,7,0
2020-02-11,18,0,0,4,5,4,0
2020-02-12,10,0,0,1,5,6,0
2020-02-13,14,0,0,1,8,2,0
2020-02-14,10,0,1,2,7,6,0
2020-02-15,20,0,1,6,9,6,0
2020-02-16,14,0,0,2,7,6,0
2020-02-17,15,0,1,3,11,13,0
2020-02-18,13,0,0,3,4,3,0
2020-02-19,16,0,0,2,8,4,0
2020-02-20,6,0,0,1,7,3,0
2020-02-21,13,0,0,2,3,6,0
2020-02-22,21,0,1,2,3,9,0
2020-02-23,9,0,1,2,6,6,0
2020-02-24,17,0,0,5,3,5,0
2020-02-25,14,0,0,0,8,6,0
2020-02-26,15,0,0,4,5,7,0
2020-02-27,20,0,0,2,3,5,0
2020-02-28,19,0,0,1,8,7,0
2020-02-29,4,0,1,2,6,1,0
2020-03-01,13,0,0,3,3,8,0
2020-03-02,6,0,0,1,9,5,0
2020-03-03,15,0,0,2,4,10,0
2020-03-04,16,0,1,2,8,5,0
2020-03-05,13,0,0,2,7,6,0
2020-03-06,14,0,0,1,8,2,0
2020-03-07,12,0,0,6,6,6,0
2020-03-08,12,0,0,2,5,4,0
2020-03-09,17,0,0,3,6,5,0
2020-03-10,19,0,0,3,3,6,0
2020-03-11,10,0,1,4,7,5,0
2020-03-12,20,0,1,3,7,5,0
2020-03-13,21,0,0,0,6,1,0
2020-03-14,18,0,0,4,4,1,0
2020-03-15,18,0,0,0,4,5,0
2020-03-16,14,0,0,5,7,8,0
2020-03-17,19,0,1,3,4,8,0
2020-03-18,20,0,0,1,7,8,0
2020-03-19,14,0,0,3,4,2,0
2020-03-20,23,0,0,1,8,7,0
2020-03-21,14,0,1,5,9,8,0
2020-03-22,20,0,0,6,5,3,0
2020-03-23,19,0,1,0,7,6,0
2020-03-24,13,0,1,4,3,7,0
2020-03-25,21,0,1,3,2,5,0
2020-03-26,13,0,0,5,6,3,0
2020-03-27,21,0,0,1,5,10,0
2020-03-28,17,0,1,1,3,2,0
2020-03-29,17,0,0,3,6,1,0
2020-03-30,20,0,1,4,5,7,0
2020-03-31,27,0,1,6,11,4,0
2020-04-01,10,0,0,0,8,1,0
2020-04-02,20,2,0,0,5,4,0
2020-04-03,14,0,1,2,7,13,1
2020-04-04,19,0,0,0,4,6,0
2020-04-05,16,0,1,1,5,4,0
2020-04-06,21,1,0,3,5,4,0
2020-04-07,13,0,0,2,3,8,1
2020-04-08,17,0,1,2,4,11,1
2020-04-09,17,0,0,1,8,1,0
2020-04-10,7,0,1,0,4,4,0
2020-04-11,16,0,0,3,5,5,0
2020-04-12,20,0,0,7,4,5,0
2020-04-13,15,0,0,1,3,8,0
2020-04-14,13,0,0,0,4,5,0
2020-04-15,22,0,0,2,4,4,0
2020-04-16,17,1,2,1,10,10,0
2020-04-17,10,0,0,2,5,2,1
2020-04-18,16,1,1,1,4,3,0
2020-04-19,14,0,1,6,7,2,1
2020-04-20,18,1,0,0,2,4,0
2020-04-21,18,0,0,1,4,1,0
2020-04-22,20,1,0,4,1,4,0
2020-04-23,22,0,0,2,4,5,0
2020-04-24,13,1,0,1,8,5,0
2020-04-25,14,1,0,2,5,1,0
2020-04-26,12,0,0,0,2,3,1
2020-04-27,18,0,0,4,5,4,0
2020-04-28,24,0,1,4,1,1,0
2020-04-29,20,0,0,2,3,4,0
2020-04-30,17,1,0,3,2,3,0
2020-05-01,18,1,0,3,2,5,0
2020-05-02,16,0,0,3,2,3,2
2020-05-03,15,0,1,2,4,1,0
2020-05-04,16,0,2,1,4,4,0
2020-05-05,11,1,2,0,6,3,1
2020-05-06,21,5,0,3,7,4,0
2020-05-07,14,4,0,1,2,4,1
2020-05-08,17,1,0,1,7,11,1
2020-05-09,15,4,0,3,2,3,1
2020-05-10,12,4,0,2,2,1,0
2020-05-11,16,2,0,3,5,7,1
2020-05-12,19,5,1,5,2,4,1
2020-05-13,23,5,0,2,7,6,0
2020-05-14,16,0,0,2,4,7,1
2020-05-15,14,1,0,3,2,1,0
2020-05-16,19,4,0,0,7,5,1
2020-05-17,22,0,0,3,2,3,2
2020-05-18,23,5,0,4,2,6,1
2020-05-19,16,3,0,2,4,3,0
2020-05-20,19,7,0,3,6,3,0
2020-05-21,14,2,0,5,2,4,0
2020-05-22,16,12,0,1,3,5,0
2020-05-23,20,2,1,2,1,5,0
2020-05-24,27,4,0,2,3,4,0
2020-05-25,26,12,1,1,3,2,1
2020-05-26,27,9,0,4,3,4,0
2020-05-27,20,4,1,0,6,11,1
2020-05-28,10,6,0,3,3,7,0
2020-05-29,17,12,1,0,2,1,0
2020-05-30,19,14,0,7,6,1,0
2020-05-31,20,7,0,2,3,4,1
2020-06-01,20,8,0,3,3,2,0
2020-06-02,23,7,0,5,5,4,0
2020-06-03,20,15,0,3,1,7,1
2020-06-04,14,13,0,1,5,2,0
2020-06-05,23,11,0,0,3,5,1
2020-06-06,11,10,0,3,2,3,0
2020-06-07,17,17,0,4,5,2,1
2020-06-08,18,13,0,4,2,3,2
2020-06-09,14,8,0,3,2,4,0
2020-06-10,20,8,0,2,0,4,0
2020-06-11,28,14,0,2,3,3,2
2020-06-12,19,18,0,2,3,2,0
2020-06-13,14,10,1,3,2,5,3
2020-06-14,14,17,0,2,0,5,2
2020-06-15,22,15,1,5,4,2,0
2020-06-16,23,8,0,2,3,5,0
2020-06-17,20,21,0,3,1,6,3
2020-06-18,12,14,0,3,2,5,1
2020-06-19,15,13,0,0,0,2,0
2020-06-20,18,16,0,3,4,0,0
2020-06-21,17,17,0,5,2,4,1
2020-06-22,18,18,3,5,3,5,0
2020-06-23,19,11,0,2,2,4,0
2020-06-24,19,28,0,0,2,9,1
2020-06-25,18,18,1,3,1,5,3
2020-06-26,31,17,0,3,2,4,1
2020-06-27,29,20,0,0,3,4,0
2020-06-28,14,25,0,4,3,1,0
2020-06-29,15,22,1,2,1,3,0
2020-06-30,18,20,0,3,2,2,0
2020-07-01,15,25,0,3,3,3,2
2020-07-02,20,27,0,1,4,7,0
2020-07-03,13,19,0,4,4,3,1
2020-07-04,23,11,1,2,3,4,1
2020-07-05,24,27,1,3,5,8,1
2020-07-06,18,14,0,3,3,4,0
2020-07-07,17,23,1,1,4,2,0
2020-07-08,16,18,2,4,5,3,0
2020-07-09,15,20,0,1,3,4,0
2020-07-10,19,22,3,3,4,2,1
2020-07-11,6,16,0,3,3,2,0
2020-07-12,11,13,1,0,3,4,1
2020-07-13,14,18,0,3,3,3,0
2020-07-14,15,10,0,4,3,3,1
2020-07-15,19,10,1,3,0,5,1
2020-07-16,10,10,0,1,3,4,0
2020-07-17,8,10,2,3,2,1,1
2020-07-18,11,13,0,0,1,4,1
2020-07-19,10,13,1,0,0,3,0
2020-07-20,12,10,0,0,0,3,0
2020-07-21,3,8,0,1,1,5,0
2020-07-22,5,8,0,1,0,1,0
2020-07-23,7,6,0,1,0,0,0
2020-07-24,2,6,0,0,0,1,0
2020-07-25,4,2,0,0,0,2,0
2020-07-26,5,1,0,1,2,3,0
2020-07-27,4,6,0,0,0,0,0
2020-07-28,2,1,0,0,0,0,0
