DATA_OBITO,OUTRAS,COVID - PA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-05-29,25,0,0,3,10,2,0
2018-05-30,19,0,0,4,4,9,1
2018-05-31,29,0,0,4,10,8,0
2018-06-01,16,0,0,4,8,4,1
2018-06-02,17,0,0,5,3,7,0
2018-06-03,32,0,0,1,3,2,0
2018-06-04,23,0,2,2,6,8,1
2018-06-05,22,0,1,5,9,4,0
2018-06-06,31,0,0,7,8,4,0
2018-06-07,27,0,1,2,8,2,0
2018-06-08,18,0,0,4,7,4,0
2018-06-09,33,0,1,4,8,8,0
2018-06-10,31,0,0,6,7,2,0
2018-06-11,27,0,1,3,7,6,1
2018-06-12,24,0,0,5,7,6,0
2018-06-13,31,0,0,1,17,6,0
2018-06-14,25,0,0,4,9,5,0
2018-06-15,14,0,0,2,8,4,0
2018-06-16,29,0,2,2,8,6,0
2018-06-17,36,0,1,4,14,4,0
2018-06-18,24,0,0,7,7,6,0
2018-06-19,22,0,0,9,5,3,0
2018-06-20,25,0,0,3,12,6,0
2018-06-21,18,0,0,3,7,4,0
2018-06-22,15,0,1,5,17,5,0
2018-06-23,21,0,2,4,5,2,0
2018-06-24,30,0,0,4,11,4,0
2018-06-25,32,0,0,3,3,6,0
2018-06-26,24,0,2,3,5,3,0
2018-06-27,26,0,0,4,8,5,1
2018-06-28,28,0,0,6,10,1,0
2018-06-29,20,0,0,7,5,4,0
2018-06-30,33,0,1,1,3,6,0
2018-07-01,28,0,0,4,7,4,0
2018-07-02,26,0,0,5,12,10,0
2018-07-03,21,0,0,5,6,7,0
2018-07-04,29,0,1,7,10,6,1
2018-07-05,16,0,0,1,9,9,0
2018-07-06,28,0,0,5,8,6,0
2018-07-07,35,0,0,6,10,4,0
2018-07-08,33,0,0,6,8,7,1
2018-07-09,19,0,0,7,7,1,0
2018-07-10,21,0,0,6,7,5,0
2018-07-11,24,0,0,6,9,8,1
2018-07-12,14,0,0,9,10,6,0
2018-07-13,35,0,0,6,7,5,0
2018-07-14,30,0,2,6,11,2,0
2018-07-15,41,0,0,4,9,4,0
2018-07-16,20,0,1,2,13,2,0
2018-07-17,30,0,0,1,4,4,0
2018-07-18,19,0,1,3,6,5,0
2018-07-19,18,0,0,3,9,5,0
2018-07-20,18,0,0,7,9,5,0
2018-07-21,26,0,0,4,11,2,0
2018-07-22,21,0,0,3,6,5,0
2018-07-23,25,0,0,1,5,8,1
2018-07-24,15,0,2,3,6,5,1
2018-07-25,36,0,0,1,4,1,0
2018-07-26,21,0,0,4,9,5,0
2018-07-27,24,0,0,4,10,10,0
2018-07-28,25,0,0,6,10,3,0
2018-07-29,26,0,0,2,7,6,0
2018-07-30,23,0,2,6,7,5,0
2018-07-31,24,0,0,10,11,4,0
2018-08-01,31,0,0,7,9,5,0
2018-08-02,21,0,0,3,11,2,0
2018-08-03,21,0,0,6,10,3,0
2018-08-04,29,0,1,3,6,7,0
2018-08-05,28,0,1,7,7,8,1
2018-08-06,22,0,0,9,12,3,0
2018-08-07,30,0,0,6,9,7,0
2018-08-08,31,0,1,6,8,8,0
2018-08-09,25,0,0,7,8,7,0
2018-08-10,25,0,1,6,11,7,0
2018-08-11,36,0,0,6,8,10,0
2018-08-12,31,0,1,5,12,6,0
2018-08-13,27,0,0,5,4,4,0
2018-08-14,23,0,1,3,7,4,0
2018-08-15,36,0,2,3,12,3,0
2018-08-16,27,0,1,5,8,4,0
2018-08-17,25,0,0,9,11,4,0
2018-08-18,23,0,0,8,10,5,0
2018-08-19,29,0,0,4,8,7,0
2018-08-20,27,0,0,6,7,9,1
2018-08-21,29,0,1,4,7,5,0
2018-08-22,36,0,0,2,8,3,0
2018-08-23,43,0,1,6,7,8,0
2018-08-24,23,0,0,5,2,9,0
2018-08-25,29,0,0,3,10,2,0
2018-08-26,33,0,3,8,10,2,1
2018-08-27,27,0,1,3,6,3,1
2018-08-28,22,0,1,3,5,5,0
2018-08-29,27,0,2,5,6,5,0
2018-08-30,17,0,0,8,5,10,0
2018-08-31,26,0,0,3,11,3,0
2018-09-01,40,0,1,6,4,7,0
2018-09-02,26,0,1,3,11,4,0
2018-09-03,28,0,1,2,6,8,0
2018-09-04,29,0,0,3,5,2,0
2018-09-05,35,0,0,0,8,6,0
2018-09-06,33,0,0,6,6,4,1
2018-09-07,37,0,0,12,10,5,0
2018-09-08,26,0,0,1,11,5,0
2018-09-09,14,0,2,6,3,3,0
2018-09-10,24,0,0,3,7,2,0
